# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	10093
#@/user_id	a8b00f8d-da25-48f6-bb68-71052c2c8d80
cu shi 	促使	c=1 d=1.45573e-06 t=10093
cuan gai 	篡改	c=1 d=3.16196e-14 t=10093
cun 	寸	c=1 d=5.87985e-18 t=10093
cun 	村	c=1 d=1.08495e-18 t=10093
cun chu 	存儲	c=1 d=2.66899e-20 t=10093
cun zai 	存在	c=3 d=1.34811e-12 t=10093
cuo 	錯	c=1 d=1.38927e-15 t=10093
cuo shi 	措施	c=1 d=2.2568e-17 t=10093
cuo wu 	錯誤	c=0 d=0.0909373 t=10093
cuo wu ma 	錯誤碼	c=1 d=0.913931 t=10093
cuo zhua 	錯抓	c=1 d=2.65297e-08 t=10093
da 	大	c=4 d=0.0796879 t=10093
da 	打	c=6 d=3.84491e-06 t=10093
da 	達	c=1 d=0.0121552 t=10093
da an 	答案	c=3 d=0.763379 t=10093
da bao 	打包	c=1 d=6.67886e-17 t=10093
da ben 	大奔	c=1 d=0.45612 t=10093
da bian hu ren 	大辯護人	c=1 d=3.88812e-05 t=10093
da bo 	大波	c=1 d=0.0194482 t=10093
da bu 	大步	c=1 d=0.000441647 t=10093
da bu dao 	達不到	c=1 d=0.0125254 t=10093
da bu fen 	大部分	c=3 d=0.0273237 t=10093
da bu liao 	大不了	c=1 d=0.00927901 t=10093
da cheng 	達成	c=2 d=9.16609e-06 t=10093
da cheng yi zhi 	達成一直	c=1 d=2.52444e-12 t=10093
da chi du 	大尺度	c=1 d=2.00644e-16 t=10093
da chu 	打出	c=1 d=2.82431e-09 t=10093
da chu de 	打出的	c=1 d=2.49415e-17 t=10093
da dao 	達到	c=7 d=0.510296 t=10093
da dian 	大典	c=1 d=1.21028e-10 t=10093
da dian 	打點	c=1 d=0.00298248 t=10093
da dong gan ge 	大動干戈	c=1 d=1.56586e-11 t=10093
da dou 	大都	c=1 d=4.37327e-06 t=10093
da duo 	大多	c=1 d=3.92786e-07 t=10093
da duo shu 	大多數	c=3 d=4.59749e-06 t=10093
da er wen 	達爾文	c=2 d=0.783213 t=10093
da fu 	大幅	c=1 d=2.03185e-17 t=10093
da gai 	大概	c=4 d=0.305746 t=10093
da gong si 	大公司	c=2 d=5.17115e-07 t=10093
da gui mo 	大規模	c=1 d=3.02128e-08 t=10093
da heng 	大亨	c=1 d=4.59816e-20 t=10093
